subject,pred_hr_a,pred_hr_b,same_hr,gt_hr_a,gt_hr_b,snr_a,snr_b,wave_corr,wave_l2,wave_max_abs
subject41,99.9099909990999,99.9099909990999,True,100.45004500450045,100.45004500450045,4.96124910752718,5.127855327134125,0.9882277968467131,0.1529616117477417,1.1676900386810303
subject42,97.74977497749775,97.74977497749775,True,97.20972097209722,97.20972097209722,7.613244689452163,7.785110627619911,0.9932532415154736,0.11579802632331848,0.563979983329773
subject43,99.36993699369938,99.36993699369938,True,99.9099909990999,99.9099909990999,9.709056097812175,8.829825424050497,0.8998898189224281,0.44605937600135803,2.120260715484619
subject44,79.92799279927993,79.92799279927993,True,80.46804680468047,80.46804680468047,5.205543341171507,5.4634260923784,0.9894809023312937,0.1445915251970291,0.9713992476463318
subject45,111.25112511251126,111.25112511251126,True,111.25112511251126,111.25112511251126,3.786985410829644,3.8758227241924943,0.994091328949353,0.10836735367774963,0.8912189602851868
subject46,93.42934293429343,93.42934293429343,True,92.88928892889288,92.88928892889288,2.957794744719524,2.858854694614392,0.9948795691048756,0.10088040679693222,0.6629000306129456
subject47,111.25112511251126,111.25112511251126,True,109.0909090909091,109.0909090909091,2.726846431040971,2.7117898139379273,0.9932812085318937,0.11555776745080948,0.49080774188041687
subject48,90.72907290729073,90.72907290729073,True,90.72907290729073,90.72907290729073,17.876079341071552,16.913095594674232,0.9726084241422625,0.23332542181015015,1.8264806270599365
subject49,87.48874887488749,88.02880288028803,False,87.48874887488749,87.48874887488749,12.713520377091534,12.98139855376364,0.9639907788183733,0.26752257347106934,1.9337390661239624
subject5,99.9099909990999,99.9099909990999,True,99.9099909990999,99.9099909990999,14.56816191877981,14.711826546230656,0.9957658080817291,0.09173580259084702,0.34397587180137634
subject8,112.87128712871288,112.87128712871288,True,112.87128712871288,112.87128712871288,13.069263435792193,13.097428286664115,0.9819513031777315,0.18939848244190216,0.8210790753364563
subject9,106.3906390639064,106.3906390639064,True,106.3906390639064,106.3906390639064,2.7463549343111255,2.7521555282268877,0.9918994526253154,0.12688514590263367,0.5794425010681152
