subject,pred_hr_a,pred_hr_b,same_hr,gt_hr_a,gt_hr_b,snr_a,snr_b,wave_corr,wave_l2,wave_max_abs
subject41,99.9099909990999,99.9099909990999,True,100.45004500450045,100.45004500450045,5.297110828294727,5.127855327134125,0.9567588724200398,0.2931582033634186,1.4528136253356934
subject42,97.74977497749775,97.74977497749775,True,97.20972097209722,97.20972097209722,7.473785107253893,7.785110627619911,0.9912914253800655,0.13156098127365112,0.5769517421722412
subject43,99.36993699369938,99.36993699369938,True,99.9099909990999,99.9099909990999,9.474457464862207,8.829825424050497,0.9743309528218989,0.22586993873119354,0.9662672877311707
subject44,79.92799279927993,79.92799279927993,True,80.46804680468047,80.46804680468047,5.599820227627807,5.4634260923784,0.9529709251943703,0.30572912096977234,1.5167394876480103
subject45,111.25112511251126,111.25112511251126,True,111.25112511251126,111.25112511251126,4.4235862143077584,3.8758227241924943,0.9841740924509714,0.17735272645950317,0.9908709526062012
subject46,93.42934293429343,93.42934293429343,True,92.88928892889288,92.88928892889288,2.9513401818493423,2.858854694614392,0.9890655363780535,0.14741860330104828,0.8878548741340637
subject47,111.25112511251126,111.25112511251126,True,109.0909090909091,109.0909090909091,2.3305221021415377,2.7117898139379273,0.9872745016592379,0.1590343564748764,0.6944116353988647
subject48,90.72907290729073,90.72907290729073,True,90.72907290729073,90.72907290729073,14.877408865822211,16.913095594674232,0.8752221229500965,0.49799200892448425,2.7121453285217285
subject49,88.02880288028803,88.02880288028803,True,87.48874887488749,87.48874887488749,13.528483283847628,12.98139855376364,0.9642786981261704,0.2664509117603302,1.4896972179412842
subject5,99.9099909990999,99.9099909990999,True,99.9099909990999,99.9099909990999,14.864970549403305,14.711826546230656,0.9892022793183174,0.14649392664432526,0.8251175880432129
subject8,112.87128712871288,112.87128712871288,True,112.87128712871288,112.87128712871288,12.96771827233461,13.097428286664115,0.9705811833990555,0.24180549383163452,1.7982643842697144
subject9,106.3906390639064,106.3906390639064,True,106.3906390639064,106.3906390639064,2.3485275036135493,2.7521555282268877,0.986116477428357,0.16611291468143463,1.1596850156784058
